NAME,HOX_D1,HOX_D2,HOX_D4,HOX_D7,HOX_D14
ILMN_1794266,0.299102811,-0.046849448,-0.01579409,0.379301154,0.218522719
ILMN_1676765,0.247702911,-0.015596581,0.095562653,0.386979129,-0.120808514
ILMN_1759297,0.255357896,0.036049369,0.099570572,0.472701897,0.072274702
ILMN_1769014,0.315423362,0.05161045,0.047255181,0.442588771,0.17372878
ILMN_1763365,-0.128946171,0.060129877,0.030816661,-0.334521794,-0.011815495
ILMN_1668228,0.359738239,0.098602155,-0.062154095,0.669046998,0.076488637
ILMN_2330243,-0.106533798,-0.094897396,-0.221095087,-0.388445713,-0.037810468
ILMN_1691731,-0.218212617,0.11754929,0.001185476,-0.397379765,-0.007624153
ILMN_2133996,0.203187963,0.126676312,-0.056528548,0.337095367,0.159229214
ILMN_3240740,0.122221328,0.124928249,0.123797234,0.385422615,0.063404466
ILMN_1685496,0.134052756,-0.119156846,0.018122136,0.518386424,0.08605236
ILMN_2376822,0.060862214,-0.165624788,-0.056375391,-0.597145384,0.087460612
ILMN_3284584,0.269634298,-0.087796018,0.064820024,0.509622135,-0.067802708
ILMN_2060115,0.174588452,0.199179707,0.23902983,0.528329591,0.185987931
ILMN_2093500,-0.014269903,0.20462347,0.339847939,0.396265745,0.014842194
ILMN_2173835,0.325237087,0.23191295,0.198502451,0.721685301,-0.587827367
ILMN_1797585,-0.078964476,0.138087747,0.132094195,0.43242092,-0.090735437
ILMN_1660732,0.097301712,0.086875718,0.021667534,0.402170548,0.041591948
ILMN_3243549,-0.354943927,0.055718162,-0.053840016,-0.426089836,-0.093415854
ILMN_1671486,-0.073958166,-0.002458823,-0.048405352,-0.607823247,-0.107604247
ILMN_1715607,0.141819099,0.26089967,0.111404047,0.47318397,0.223865213
ILMN_1712122,0.387238725,0.342618705,0.210498816,0.461296824,0.147439177
ILMN_2201966,-0.167466872,-0.243486396,-0.226144247,-0.352647814,0.02376369
ILMN_1670901,-0.149834135,0.078101477,-0.052262152,-0.381460471,-0.005040046
ILMN_1669553,-0.21907992,-0.066273905,-0.11626265,-0.385163231,-0.142615413
ILMN_1721978,-0.040160064,-0.16597522,0.052078334,-0.447858693,-0.092253235
ILMN_1782751,0.16966958,0.1397608,0.055992333,0.391110273,0.239687732
ILMN_1699022,0.016859116,-0.137638252,0.155755471,0.428383142,0.013512639
ILMN_3201480,-0.201052105,0.116513438,-0.013038744,-0.297515942,-0.109548442
ILMN_3241469,-0.055238205,-0.020062547,0.017601922,-0.455584253,-0.051647088
ILMN_1759818,0.158069535,0.173069288,0.336924027,0.548888068,0.065980345
ILMN_2370825,-0.083656085,0.174128987,0.285416599,0.41250901,0.10499968
ILMN_3199737,0.042692456,-0.113773272,0.10138156,0.376137931,-0.326446492
ILMN_2262288,0.218750488,0.249594807,0.135654304,0.581331587,-0.004407333
ILMN_2214910,0.141127138,-0.227858531,-0.060014746,0.391184461,0.063911795
ILMN_3308961,-0.574766988,-0.193359654,-0.802074697,-1.528209599,-0.730857526
ILMN_1747344,0.19210527,0.08172877,0.132754419,0.309780392,0.208279198
ILMN_2302118,-0.172837626,-0.104615474,-0.084019445,-0.613822649,-0.053408644
ILMN_1713369,-0.002570539,0.004194392,-0.113033005,0.543455682,0.020937735
ILMN_3244192,-0.306790479,0.013065473,-0.065537224,-0.370332904,-0.100211197
ILMN_1719518,0.057522119,0.112300336,0.106607296,0.401577263,0.2581011
ILMN_1680196,0.09375054,-0.098086018,0.011002634,0.479694171,0.048059998
ILMN_2206716,0.127991249,-0.240321082,-0.057358517,0.317428402,0.189115003
ILMN_1744822,-0.230380595,0.026842463,-0.031663181,-0.323984109,8.23313E-05
ILMN_1671318,0.273847214,-0.079927521,0.111617291,0.457131676,0.169382201
ILMN_1796179,0.217621449,0.33497034,0.256287815,-1.011175135,0.153443568
ILMN_2090949,-0.382432049,0.128749633,-0.105791681,-0.381975076,-0.20917362
ILMN_1716014,0.140197394,0.044093253,0.240501456,0.570494999,-0.438013831
ILMN_3219643,0.091113651,0.004466438,-0.096390666,0.469337635,0.029083546
ILMN_1787275,0.106848298,-0.196920648,0.000868402,0.455819412,-0.103340585
ILMN_1678961,0.112432613,-0.11338888,-0.105266928,0.54926339,0.146925789
ILMN_2134723,0.19098362,0.289382437,0.183653478,0.440623003,0.107922176
ILMN_1765021,-0.104824695,-0.065076503,-0.135362638,-0.342180155,0.063048432
ILMN_1810782,-0.094291551,-0.119037611,-0.107550388,-0.439367937,0.137700502
ILMN_1770732,-0.102622187,0.097346923,-0.180097809,-0.33548323,-0.013435124
ILMN_1737298,0.050185648,-0.147484941,0.034125931,0.4176765,0.083949435
ILMN_2348788,0.095411645,0.14302467,0.110538465,0.747063818,0.275442251
ILMN_1811272,-0.040577376,-0.012909331,0.000838766,0.429903528,-0.066935144
ILMN_1802096,-0.037757963,-0.134967464,0.167214215,-0.683607686,-0.186034971
ILMN_2185845,-0.037886938,-0.354539105,-0.01016431,-0.460160218,0.282164866
ILMN_2152131,-0.171511292,-0.215894228,-0.17453052,-0.360782552,0.003558207
ILMN_1659411,-0.115387138,-0.028582547,-0.129469753,-0.302483037,-0.03511197
ILMN_1678781,0.028376723,0.154950717,0.077542997,-0.371389176,0.035726232
ILMN_3301065,-0.212809156,0.094377106,0.005358469,-0.340896735,-0.369581928
ILMN_1802023,-0.158218742,-0.038989031,-0.169776952,-0.383516105,-0.114046574
ILMN_2073263,0.120653024,-0.128287349,0.023216638,0.460644707,-0.416850334
