ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1657662,0.08,-0.12,0.1,0.33,-0.12
ILMN_3197652,0.08,-0.12,0.1,0.33,-0.12
ILMN_3234735,0.08,-0.12,0.1,0.33,-0.12
ILMN_1746883,-0.12,-0.16,-0.41,-0.35,-0.48
ILMN_1694111,-0.01,-0.3,-0.35,-0.09,-0.19
ILMN_1736847,0.2,0.18,0.42,0.2,0.17
ILMN_2339705,0.2,0.18,0.42,0.2,0.17
ILMN_1659537,0.2,0.18,0.42,0.2,0.17
ILMN_1683450,0.22,0.21,0.54,0.36,0.08
ILMN_1657111,-0.34,0.08,-0.64,-0.48,-0.56
ILMN_1790688,-0.34,0.08,-0.64,-0.48,-0.56
ILMN_3243156,-0.34,0.08,-0.64,-0.48,-0.56
ILMN_1750352,-0.34,0.08,-0.64,-0.48,-0.56
ILMN_1740265,0.31,0.26,0.24,0.42,0.44
ILMN_1784756,0.31,0.26,0.24,0.42,0.44
ILMN_2332250,0.31,0.26,0.24,0.42,0.44
ILMN_1728883,0.31,0.26,0.24,0.42,0.44
ILMN_1788078,0.31,0.26,0.24,0.42,0.44
ILMN_1719178,0.31,0.26,0.24,0.42,0.44
ILMN_2252621,0.31,0.26,0.24,0.42,0.44
ILMN_1796458,-0.28,-0.02,-0.13,-0.32,-0.22
ILMN_2046315,-0.28,-0.02,-0.13,-0.32,-0.22
ILMN_2059689,0.07,0.03,0.16,0.43,0.13
ILMN_2215639,-0.11,0.47,0.38,0.53,0.23
ILMN_2215640,-0.11,0.47,0.38,0.53,0.23
ILMN_1718972,0,-0.19,-0.43,-0.23,0.16
ILMN_1669982,0.25,-0.02,-0.09,0.26,0.66
ILMN_2361614,0.25,-0.02,-0.09,0.26,0.66
ILMN_1726081,0.02,-0.09,0.23,0.55,0.28
ILMN_2415277,0.02,-0.09,0.23,0.55,0.28
ILMN_1683102,0.02,-0.09,0.23,0.55,0.28
ILMN_1790537,0.22,0.5,0.45,0.14,0.25
ILMN_1769390,-0.03,-0.08,-0.3,0.04,0.01
