ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_3301824,0.08,0.31,0.09,0.09,-0.67
ILMN_3225244,0.08,0.31,0.09,0.09,-0.67
ILMN_1734486,0.08,0.31,0.09,0.09,-0.67
ILMN_1654875,0.04,0.16,-0.01,0.08,0.39
ILMN_1677684,-0.16,0.05,0.05,0.7,-0.13
ILMN_1787576,0.16,0.06,0.14,0.32,0.11
ILMN_2364072,0.16,0.06,0.14,0.32,0.11
ILMN_1756779,-0.01,0.22,0.05,-0.4,-0.59
ILMN_1712865,0.2,0.13,-0.06,0.34,0.16
ILMN_2133996,0.2,0.13,-0.06,0.34,0.16
ILMN_1670901,-0.15,0.08,-0.05,-0.38,-0.01
ILMN_1745119,-0.09,-0.13,0.09,-0.18,-0.68
ILMN_2183885,-0.09,-0.13,0.09,-0.18,-0.68
ILMN_1772796,-0.16,0.12,-0.12,-0.44,-0.2
ILMN_2372974,0.19,0.17,-0.19,0.88,0.21
ILMN_1758146,0.19,0.17,-0.19,0.88,0.21
ILMN_2373266,0.07,0.09,-0.08,0.06,-0.42
ILMN_2275297,0.07,0.09,-0.08,0.06,-0.42
ILMN_1720088,0.07,0.09,-0.08,0.06,-0.42
ILMN_2130514,0,0.19,0.15,0.32,0.02
ILMN_1753449,0.04,0.07,-0.01,0.29,0.03
ILMN_1761801,0.13,0.05,0.1,-0.16,-0.7
ILMN_1808436,-0.12,0.07,0.31,0.08,-0.7
ILMN_1726641,-0.12,0.07,0.31,0.08,-0.7
ILMN_1651617,-0.12,0.07,0.31,0.08,-0.7
ILMN_1785786,-0.12,0.07,0.31,0.08,-0.7
ILMN_1786903,-0.12,0.07,0.31,0.08,-0.7
ILMN_1757350,-0.12,0.07,0.31,0.08,-0.7
ILMN_1746396,-0.12,0.07,0.31,0.08,-0.7
ILMN_1717639,0.38,0.22,0.32,-0.19,0.65
ILMN_3235647,0.38,0.22,0.32,-0.19,0.65
ILMN_2112834,0.23,0.2,-0.12,0.38,0.15
ILMN_2112829,0.23,0.2,-0.12,0.38,0.15
ILMN_1738333,-0.17,0.08,-0.15,-0.61,-0.32
ILMN_2302118,-0.17,0.08,-0.15,-0.61,-0.32
ILMN_1725250,-0.17,0.08,-0.15,-0.61,-0.32
ILMN_1704579,-0.04,0.41,0.17,0.48,-0.15
ILMN_1664718,0.1,-0.22,-0.09,-0.47,-0.58
ILMN_1686573,-0.24,-0.13,-0.26,-0.13,0.44
ILMN_1777190,0.32,0.06,0.11,0.24,0.39
ILMN_1781285,0.09,0.1,-0.13,-0.69,0.88
ILMN_2137464,-0.23,0.05,0.04,-0.4,0.05
ILMN_1658333,-0.17,-0.47,-0.39,-0.72,0.11
ILMN_2329735,-0.17,-0.47,-0.39,-0.72,0.11
ILMN_1701930,0.22,0.19,-0.18,0.35,-0.54
ILMN_1694587,0.22,0.19,-0.18,0.35,-0.54
ILMN_2318725,0.22,0.19,-0.18,0.35,-0.54
ILMN_1685678,0.22,0.19,-0.18,0.35,-0.54
ILMN_1675541,0.22,0.19,-0.18,0.35,-0.54
ILMN_2262288,0.22,0.25,0.14,0.58,0.03
ILMN_1750880,-0.04,0.08,-0.01,-0.1,-0.29
ILMN_1755419,0.16,0.11,-0.09,0.13,-0.56
ILMN_1770895,0.16,0.11,-0.09,0.13,-0.56
ILMN_1813240,0.16,0.11,-0.09,0.13,-0.56
ILMN_1761519,0.15,-0.14,0.27,0.34,0.31
ILMN_2279635,0.15,-0.14,0.27,0.34,0.31
ILMN_2380946,0.15,-0.14,0.27,0.34,0.31
ILMN_1652082,-0.08,-0.01,-0.13,-0.68,0.16
ILMN_1744912,0.13,0.17,0.25,0.59,-0.07
ILMN_2393712,0.13,0.17,0.25,0.59,-0.07
ILMN_1798838,0.13,0.17,0.25,0.59,-0.07
ILMN_1700975,0.2,-0.21,-0.14,0.29,-0.54
ILMN_1760779,0.2,-0.21,-0.14,0.29,-0.54
ILMN_2364700,0.2,-0.21,-0.14,0.29,-0.54
ILMN_2101885,0.52,0.2,-0.12,0.26,0.18
ILMN_1665583,0.52,0.2,-0.12,0.26,0.18
ILMN_2214910,0.14,-0.23,-0.06,0.39,0.06
ILMN_1651699,-0.13,0.03,-0.05,-0.34,-0.55
ILMN_1758034,-0.08,0.06,0.04,-0.31,0.18
ILMN_2122103,-0.24,-0.09,-0.08,-0.32,-0.71
ILMN_1687538,-0.24,-0.09,-0.08,-0.32,-0.71
ILMN_1709233,0.09,-0.04,0.22,0.46,0.32
ILMN_1709348,-0.05,-0.57,-0.14,-0.58,-0.32
ILMN_2096372,-0.05,-0.57,-0.14,-0.58,-0.32
ILMN_1657634,0.39,0.34,0.21,0.46,0.15
ILMN_2235137,0.39,0.34,0.21,0.46,0.15
ILMN_1712122,0.39,0.34,0.21,0.46,0.15
ILMN_2217574,0,0.28,0.07,0.08,-0.65
ILMN_1761083,-0.06,0.13,-0.12,-0.11,-0.53
ILMN_1749868,-0.11,-0.33,-0.48,0.14,0.39
ILMN_2134062,0.07,-0.06,-0.05,0.96,-0.13
ILMN_1680673,-0.17,-0.12,-0.26,-0.27,-0.58
ILMN_2058347,-0.17,-0.12,-0.26,-0.27,-0.58
ILMN_1713322,-0.11,0.14,-0.12,-0.09,-0.84
ILMN_2246083,-0.11,0.14,-0.12,-0.09,-0.84
ILMN_1663493,-0.11,0.14,-0.12,-0.09,-0.84
ILMN_1719938,0.17,0.05,0.09,0.52,0.17
ILMN_2269380,-0.07,-0.04,0.03,0.01,-0.44
ILMN_2362581,-0.07,-0.04,0.03,0.01,-0.44
ILMN_1705111,-0.07,-0.04,0.03,0.01,-0.44
ILMN_1765019,-0.17,-0.08,0.01,-0.1,-0.45
ILMN_1699022,0.02,-0.14,0.16,0.43,0.01
ILMN_1672331,0.09,-0.14,-0.11,-0.2,-0.38
ILMN_1808322,0.09,-0.14,-0.11,-0.2,-0.38
ILMN_1661342,0.2,0.14,0.09,0.33,-0.34
ILMN_1681798,0.2,0.14,0.09,0.33,-0.34
ILMN_2399264,0.2,0.14,0.09,0.33,-0.34
ILMN_1708416,0.07,-0.06,0.14,0.38,-0.79
ILMN_2113362,0.07,-0.06,0.14,0.38,-0.79
ILMN_1686562,0,-0.23,-0.08,0.32,0.08
ILMN_2373099,0.01,-0.11,-0.03,0.29,-0.05
ILMN_1655137,0.01,-0.11,-0.03,0.29,-0.05
ILMN_1681590,0.21,0.12,-0.05,0.37,0.25
ILMN_1812395,0.21,0.12,-0.05,0.37,0.25
ILMN_1686725,0.22,0.06,-0.12,-0.15,-0.56
ILMN_2349831,0.22,0.06,-0.12,-0.15,-0.56
ILMN_1772692,0.22,0.06,-0.12,-0.15,-0.56
ILMN_1706100,0.22,0.06,-0.12,-0.15,-0.56
ILMN_1798164,-0.09,0.03,0.18,0.06,-0.39
ILMN_2057826,-0.09,0.03,0.18,0.06,-0.39
ILMN_1712582,0.25,-0.12,0.42,0.65,0.23
ILMN_1698608,0.25,-0.12,0.42,0.65,0.23
ILMN_2346339,0.25,-0.12,0.42,0.65,0.23
ILMN_1661733,0.25,-0.12,0.42,0.65,0.23
ILMN_1754547,-0.02,0.05,-0.13,-0.05,-0.56
ILMN_2052383,-0.02,0.05,-0.13,-0.05,-0.56
ILMN_2151412,0.06,0.05,0.23,-0.01,-0.34
ILMN_1655868,0.06,0.05,0.23,-0.01,-0.34
ILMN_1713369,0,0,-0.11,0.54,0.02
ILMN_3236270,-0.24,0.09,-0.08,-0.47,-0.23
ILMN_1766798,-0.24,0.09,-0.08,-0.47,-0.23
ILMN_2088825,-0.24,0.09,-0.08,-0.47,-0.23
ILMN_1751607,0.14,-0.41,0.34,0.11,1.44
ILMN_2263829,0.2,0.06,0.29,-0.05,0.51
ILMN_1691112,0.2,0.06,0.29,-0.05,0.51
ILMN_2352724,0.2,0.06,0.29,-0.05,0.51
ILMN_1660611,0.26,0.06,0.1,0.47,0.07
ILMN_2401844,0.26,0.06,0.1,0.47,0.07
ILMN_1759297,0.26,0.06,0.1,0.47,0.07
ILMN_1737947,-0.09,0.04,0.1,-0.14,-0.66
ILMN_2116556,-0.09,0.04,0.1,-0.14,-0.66
ILMN_1680996,-0.14,-0.26,0.23,0.57,0.08
ILMN_1792150,-0.14,-0.26,0.23,0.57,0.08
ILMN_1651466,-0.14,-0.26,0.23,0.57,0.08
ILMN_1683146,0.31,0.34,0.27,0.59,-0.66
ILMN_2173835,0.33,0.23,0.2,0.72,-0.59
ILMN_1656560,0.02,0.05,-0.04,0.67,0.17
ILMN_2385318,0.12,0.24,0.18,0.25,-0.38
ILMN_1656557,0.12,0.24,0.18,0.25,-0.38
ILMN_1797453,0.12,0.24,0.18,0.25,-0.38
ILMN_1781151,0.12,0.24,0.18,0.25,-0.38
ILMN_1744611,-0.01,0.18,-0.07,-0.09,-0.65
ILMN_2081087,0.23,0.06,0.18,0.33,0.08
ILMN_1800700,0.23,0.06,0.18,0.33,0.08
ILMN_1760110,0.23,0.06,0.18,0.33,0.08
ILMN_1688005,0.23,0.06,0.18,0.33,0.08
ILMN_1671250,-0.06,0.13,-0.13,-0.31,-0.46
ILMN_2063584,-0.06,0.13,-0.13,-0.31,-0.46
ILMN_2063586,-0.06,0.13,-0.13,-0.31,-0.46
ILMN_3249669,-0.11,-0.13,-0.03,-0.01,-0.38
ILMN_1692588,-0.11,-0.13,-0.03,-0.01,-0.38
ILMN_1741176,-0.1,0.15,0.12,-0.54,-0.04
ILMN_1683678,0.14,-0.09,-0.02,0.38,0.14
ILMN_3237241,-0.14,-0.02,-0.05,-0.34,0.07
ILMN_1763730,-0.03,-0.12,0.06,0.06,-0.33
ILMN_1682139,-0.16,-0.11,-0.08,-0.37,-0.01
ILMN_1678922,-0.08,-0.16,0.04,-0.24,-0.45
ILMN_2370160,-0.08,-0.16,0.04,-0.24,-0.45
ILMN_1770665,-0.08,-0.16,0.04,-0.24,-0.45
ILMN_1723729,0.09,0.22,-0.01,0.5,0.38
ILMN_1769014,0.32,0.05,0.05,0.44,0.17
ILMN_1749641,-0.11,-0.12,0.07,-0.07,-0.48
ILMN_1672415,-0.11,-0.12,0.07,-0.07,-0.48
ILMN_1729175,-0.11,-0.12,0.07,-0.07,-0.48
ILMN_2273261,-0.11,-0.12,0.07,-0.07,-0.48
ILMN_1789702,0.01,0.12,0.22,-1.28,0.03
ILMN_1803647,0.01,0,0.15,-0.34,-0.68
ILMN_1669393,0.37,0.11,0.07,0.56,0.23
ILMN_1652604,0.37,0.11,0.07,0.56,0.23
ILMN_2274240,0.37,0.11,0.07,0.56,0.23
ILMN_2368585,0.37,0.11,0.07,0.56,0.23
ILMN_1686531,0.37,0.11,0.07,0.56,0.23
ILMN_1786186,0.37,0.03,0.15,0.38,0.01
ILMN_1737036,0.37,0.03,0.15,0.38,0.01
ILMN_1715051,0.37,0.03,0.15,0.38,0.01
ILMN_1685415,-0.08,-0.11,-0.08,-0.33,-0.25
ILMN_2160764,-0.08,-0.11,-0.08,-0.33,-0.25
ILMN_1775036,-0.14,0.29,0.11,-0.33,0.07
ILMN_2136133,0.19,-0.13,-0.17,0.27,-0.69
ILMN_1761155,0.19,-0.13,-0.17,0.27,-0.69
ILMN_2354478,0.2,0.17,0.2,0.58,0.02
ILMN_1677200,0.2,0.17,0.2,0.58,0.02
ILMN_2264981,0.2,0.17,0.2,0.58,0.02
